hour,price,category,frequency,is_essential,deliberation_minutes,on_wishlist,impulse_level
13,129.87,clothing,16,1,22,0,1
11,115.99,clothing,2,0,41,0,2
6,420.42,home,5,1,175,0,1
3,284.16,food,15,1,1,0,2
5,304.92,beauty,4,0,873,1,1
9,58.51,clothing,10,0,56,0,3
12,201.34,beauty,7,1,62,0,1
20,125.21,beauty,10,0,135,0,2
3,399.13,home,2,1,10,0,1
11,39.13,beauty,11,1,4,0,2
15,57.24,electronics,15,0,7,0,3
23,263.26,beauty,9,0,2057,0,1
15,235.11,beauty,19,0,79,0,1
2,143.07,entertainment,8,0,7,0,3
21,192.6,clothing,16,0,444,1,0
6,180.64,electronics,11,1,4,0,2
8,280.12,home,7,1,4,0,1
15,279.81,food,16,1,22,0,1
0,51.06,food,13,1,10055,1,0
18,187.67,home,17,1,1,0,2
17,168.74,beauty,15,0,149,1,1
3,362.04,electronics,4,0,4,0,3
22,96.65,food,16,1,55,0,2
16,300.41,clothing,7,1,66,1,0
9,12.0,home,5,1,7,0,1
17,149.61,food,16,1,5699,1,0
9,237.35,entertainment,11,0,60,1,1
15,61.47,clothing,13,0,1400,0,3
21,31.54,food,19,0,41,1,0
7,63.63,entertainment,20,0,253,0,2
16,193.29,entertainment,10,0,48,0,2
9,286.47,clothing,20,0,100,1,0
6,314.63,electronics,3,1,3,1,0
2,82.48,entertainment,15,0,12,0,2
1,119.58,beauty,10,0,525,0,1
21,120.54,electronics,19,0,8,0,3
13,61.81,food,5,0,358,0,0
2,34.52,electronics,20,0,205,0,2
9,222.38,entertainment,10,0,2,0,3
16,272.29,entertainment,3,0,29,0,2
23,164.55,electronics,1,1,23,0,1
18,295.63,clothing,9,0,25,0,2
5,237.9,beauty,15,0,4354,1,0
18,220.76,entertainment,3,0,1430,0,1
10,336.72,food,11,1,14,0,1
21,472.87,home,2,1,614,1,0
10,62.38,entertainment,17,0,295,1,0
17,233.68,clothing,7,0,6,0,3
15,314.58,clothing,7,1,689,1,0
9,221.87,beauty,16,0,121,0,2
19,400.66,beauty,6,0,1365,1,1
13,51.14,clothing,15,0,3,0,3
4,251.7,beauty,10,0,1237,1,1
15,490.22,food,15,1,390,1,0
19,256.58,food,3,1,258,0,0
13,173.24,home,9,0,916,1,0
9,419.55,home,16,0,12,0,3
15,175.84,home,18,1,104,0,1
6,490.48,food,19,1,273,0,1
13,26.61,beauty,16,0,78,0,2
12,494.26,beauty,5,0,656,1,0
16,482.85,electronics,4,0,24,0,2
16,455.67,clothing,5,0,3,0,3
4,42.04,electronics,11,0,89,1,0
2,426.62,beauty,18,0,2291,1,2
22,444.28,entertainment,18,1,1028,1,0
20,343.78,electronics,8,0,19,0,2
3,381.38,beauty,4,0,23,0,3
0,27.77,clothing,10,0,141,0,2
7,267.93,home,6,1,116,1,0
12,311.76,food,16,0,749,1,0
14,320.76,entertainment,9,0,3,0,3
14,451.1,beauty,18,0,32,0,3
11,493.89,electronics,14,0,7,0,3
9,103.61,entertainment,16,0,45,1,0
11,289.53,beauty,10,1,4,0,1
12,140.87,home,2,0,37,0,2
9,388.99,food,20,1,1460,1,0
6,312.34,beauty,5,0,19,0,2
20,24.51,entertainment,2,0,19,0,2
2,455.27,electronics,14,1,654,1,0
17,438.85,electronics,17,0,879,1,1
5,132.2,entertainment,10,0,342,1,1
3,236.82,clothing,5,0,1135,1,0
21,363.49,entertainment,18,0,31,0,3
0,135.91,clothing,15,0,24,0,3
8,294.36,beauty,12,0,418,1,1
0,311.68,home,11,0,3557,1,1
2,319.52,entertainment,10,0,10196,1,1
1,473.4,electronics,16,1,1492,1,0
17,72.15,entertainment,12,0,1602,0,2
17,212.47,beauty,5,0,3,0,2
15,309.75,electronics,2,0,16,1,0
14,475.52,electronics,4,0,129,1,0
20,182.54,entertainment,9,0,673,1,1
14,50.38,food,20,0,1678,1,0
10,125.57,food,19,1,3,0,2
17,107.54,food,8,1,55,1,0
19,6.4,food,5,1,212,0,0
3,332.22,clothing,5,1,1,0,3
7,296.48,clothing,6,1,339,1,0
13,265.41,beauty,3,0,1,0,2
16,298.86,entertainment,17,0,20,0,3
23,392.7,beauty,17,0,8,0,3
0,35.11,entertainment,13,0,81,1,1
22,455.3,clothing,3,0,483,1,1
4,141.13,beauty,19,0,1173,1,0
19,267.63,entertainment,17,0,40,1,2
22,61.63,beauty,18,0,664,1,1
14,444.61,entertainment,11,0,4132,1,1
23,52.07,entertainment,11,0,2365,1,1
4,344.98,entertainment,3,0,8876,1,2
13,52.8,beauty,12,0,12,0,3
18,478.53,home,11,0,73,0,3
21,470.86,entertainment,2,0,2,0,3
11,56.28,home,7,1,166,0,0
3,178.31,home,12,1,68,1,0
7,404.57,home,20,0,11,0,3
0,306.45,beauty,9,1,3841,1,0
9,461.16,electronics,1,1,4642,1,0
21,203.39,food,1,1,1,0,1
12,212.82,electronics,6,1,43,0,0
18,300.13,clothing,5,1,1,0,1
21,45.38,entertainment,14,0,1,0,3
8,111.71,home,4,1,699,1,0
21,340.85,entertainment,17,0,186,1,0
12,492.3,clothing,1,1,17,0,1
4,383.26,electronics,11,1,2,0,2
13,91.97,entertainment,18,0,6,0,3
21,404.07,clothing,13,0,343,1,0
0,232.58,clothing,11,0,6,0,3
22,321.87,electronics,4,0,1021,0,2
5,401.65,home,15,0,4,0,3
2,221.17,clothing,8,0,16,0,2
2,200.9,electronics,11,1,68,0,1
2,257.69,clothing,17,0,6,0,3
11,178.79,beauty,5,0,267,1,0
6,90.88,food,3,1,1,0,2
15,234.66,home,19,1,539,0,0
18,323.28,home,11,0,63,0,2
4,222.68,entertainment,15,0,9487,0,3
18,32.81,home,3,1,15,0,0
1,187.53,electronics,3,0,1,0,3
2,309.43,home,13,1,4,0,1
23,448.46,entertainment,19,0,152,1,1
15,253.18,clothing,15,1,586,0,1
10,491.28,clothing,17,0,398,1,2
22,221.69,entertainment,17,0,453,1,1
11,459.38,entertainment,14,0,422,0,3
1,395.67,beauty,11,1,85,1,0
21,196.35,electronics,20,0,108,1,0
18,333.49,electronics,10,0,128,0,2
12,68.83,beauty,3,0,49,1,1
10,407.53,beauty,17,1,5,0,2
16,184.1,electronics,10,1,165,1,0
15,100.04,food,5,1,22,0,0
3,256.31,home,17,1,605,1,0
19,69.87,entertainment,5,0,12,0,2
19,405.48,food,15,1,169,1,0
23,122.58,entertainment,20,0,54,0,3
14,120.83,food,10,0,24,0,2
6,187.08,home,15,1,32,1,0
12,253.94,entertainment,6,0,5,0,3
4,437.14,clothing,16,0,4,0,3
3,357.14,home,4,1,1,0,2
8,227.41,home,5,0,595,1,0
7,409.27,electronics,1,0,1051,1,0
11,121.71,clothing,12,1,365,1,0
3,420.39,beauty,11,0,151,1,2
9,459.11,entertainment,5,0,3,0,3
19,7.6,clothing,1,1,150,0,0
17,470.41,home,17,1,106,0,0
7,154.07,clothing,8,0,57,0,3
14,36.09,entertainment,20,0,1,0,3
18,124.76,food,10,1,63,0,0
7,287.48,food,3,1,703,1,0
16,274.32,home,18,1,23,0,1
1,319.66,electronics,9,0,2325,1,1
2,175.68,beauty,4,0,39,0,2
10,71.04,electronics,18,1,7,0,1
21,234.99,beauty,16,0,44,0,2
2,359.44,entertainment,2,0,623,1,2
6,443.47,electronics,10,0,114,0,1
17,239.33,clothing,7,1,221,0,0
1,433.57,electronics,9,1,18,1,0
12,372.94,entertainment,11,0,1,0,3
15,186.84,home,9,0,20,0,2
2,218.15,food,18,1,658,1,0
10,332.16,electronics,15,0,105,0,1
22,224.73,entertainment,2,0,32,0,3
19,499.08,electronics,2,1,1,0,2
11,258.98,beauty,6,0,670,1,0
19,340.65,entertainment,2,0,1042,1,2
20,186.33,entertainment,19,1,529,1,0
14,474.67,electronics,15,0,8,0,3
16,186.64,electronics,9,1,1401,1,0
23,97.09,home,13,0,449,1,0
8,353.5,food,20,1,52,0,1
15,104.09,food,3,1,159,0,0
14,498.64,beauty,11,0,11,0,3
17,273.37,electronics,6,0,8,0,2
20,91.18,electronics,17,1,91,0,0
4,122.18,entertainment,1,0,114,0,3
14,402.81,home,5,0,750,1,1
9,202.09,beauty,16,0,4,0,2
18,41.51,electronics,3,0,1,0,3
11,68.53,home,19,1,74,0,0
13,253.92,clothing,4,0,613,1,0
5,164.72,beauty,8,0,2674,0,2
9,423.74,electronics,7,0,24,0,2
4,314.39,home,18,1,52,0,2
18,471.1,food,6,1,4,0,1
19,172.12,home,2,0,6788,1,0
1,474.53,home,9,0,486,0,2
13,310.96,clothing,16,0,2,0,3
20,478.54,entertainment,8,0,22,0,3
9,229.5,beauty,2,0,1,0,3
14,105.99,home,5,1,14,0,0
23,494.07,electronics,13,1,88,1,0
17,57.56,food,15,1,104,0,1
4,52.92,electronics,13,0,1,0,2
5,407.67,home,11,1,243,1,0
16,236.07,electronics,16,1,11,0,0
16,231.33,food,7,1,279,1,0
9,249.97,beauty,16,0,7,1,1
3,218.31,electronics,12,0,285,1,1
12,30.32,home,7,1,6460,1,0
12,254.61,home,9,0,11,0,1
19,63.81,clothing,13,0,3452,0,2
17,469.78,food,7,1,20,0,0
1,27.43,food,11,1,29,0,1
4,305.1,home,5,1,6,0,1
5,199.51,home,10,1,18,0,1
16,268.51,beauty,19,0,4,0,3
11,168.96,clothing,14,0,12,0,3
23,436.69,beauty,1,0,7,1,3
20,392.54,home,19,1,2615,1,0
15,89.4,beauty,20,0,241,1,0
21,124.89,home,4,1,1,0,1
13,79.96,beauty,7,0,2,0,3
15,437.04,beauty,2,0,130,0,3
17,165.9,beauty,16,0,1190,1,0
5,232.53,home,11,1,7,0,2
23,341.97,beauty,9,0,64,1,1
7,143.11,electronics,8,0,12,0,1
9,353.93,beauty,16,0,1171,1,1
23,140.36,clothing,19,0,234,1,2
12,410.1,food,10,1,2,0,1
2,176.45,entertainment,9,0,982,1,0
17,139.21,home,9,1,38,0,0
18,123.44,clothing,17,1,1613,1,0
3,209.58,beauty,16,0,7,0,3
0,482.44,food,14,1,4,0,1
15,241.34,food,10,1,1,0,1
2,327.89,food,18,1,1,0,3
1,457.05,food,14,1,17,1,1
1,498.6,entertainment,16,0,30,0,3
9,438.99,clothing,10,0,178,1,1
10,145.86,beauty,18,0,18,0,3
4,426.27,entertainment,9,0,478,1,1
5,366.9,beauty,9,0,233,1,1
10,396.43,home,7,1,37,0,0
12,414.36,home,11,1,1,0,2
5,490.93,entertainment,11,0,521,1,1
12,121.58,electronics,11,1,20,0,1
0,134.47,electronics,8,1,179,1,0
9,84.06,beauty,17,0,29,0,2
9,346.69,beauty,10,0,744,1,0
4,241.7,entertainment,20,0,157,0,3
15,379.89,beauty,7,0,33,0,3
19,437.2,clothing,17,0,561,0,3
2,459.04,clothing,2,0,1,0,3
6,288.49,food,6,1,5,0,1
3,341.75,beauty,19,0,56,0,3
14,405.3,entertainment,5,0,29,0,2
1,281.6,beauty,10,0,161,1,0
0,374.17,home,3,1,101,1,0
2,272.88,clothing,3,0,2,0,3
9,207.39,food,14,1,3,0,3
14,435.46,entertainment,13,0,53,0,3
17,70.83,electronics,4,1,3,0,1
16,68.04,food,1,1,6,0,1
14,338.38,home,14,1,3361,0,0
7,233.01,food,9,1,200,0,0
3,20.95,beauty,14,0,18,0,3
0,124.13,clothing,4,0,5,0,3
21,353.13,clothing,8,0,82,0,2
7,272.18,clothing,5,0,1041,1,0
23,290.17,home,20,0,69,0,1
7,154.37,food,17,1,135,1,0
1,280.58,home,6,0,17,0,2
15,28.21,electronics,13,0,526,1,0
13,207.09,electronics,13,1,42,0,1
7,425.42,electronics,5,0,61,0,2
17,209.28,entertainment,18,0,1409,1,1
8,105.65,beauty,3,0,17,0,1
2,270.14,food,2,1,47,0,1
19,24.58,clothing,7,0,34,0,1
21,281.63,entertainment,7,0,79,1,1
0,109.84,food,4,1,18,0,1
7,349.34,beauty,7,0,420,1,1
10,388.88,entertainment,15,0,1648,1,1
8,183.02,entertainment,15,0,24,0,2
15,382.01,electronics,7,1,8,0,1
18,432.72,beauty,5,1,31,0,1
18,291.68,entertainment,10,0,2653,1,0
12,287.05,food,16,1,13,0,1
10,132.38,entertainment,16,0,362,0,2
11,88.79,beauty,18,0,158,0,1
17,495.21,clothing,17,1,34,0,2
21,29.01,clothing,14,1,23,0,2
2,355.05,clothing,7,0,185,1,2
19,320.68,home,16,0,12687,1,0
17,278.06,clothing,1,0,206,1,1
9,13.49,beauty,14,0,473,0,2
3,459.43,home,5,1,8,0,1
8,408.53,electronics,13,1,1,0,1
14,284.68,beauty,8,0,2,0,2
2,328.6,beauty,2,1,382,1,0
17,240.62,beauty,1,0,4128,1,0
13,324.23,electronics,19,0,143,0,2
16,459.98,food,7,0,18,0,2
18,240.37,clothing,3,0,74,1,0
17,283.94,clothing,6,0,517,1,0
6,295.58,beauty,13,0,622,1,2
18,124.03,entertainment,18,0,5,0,3
4,396.3,beauty,3,0,5,0,3
1,53.35,food,3,1,5,0,2
19,201.37,electronics,1,0,344,0,1
14,247.85,electronics,18,0,3,0,3
21,295.01,entertainment,3,0,176,1,0
7,357.99,clothing,9,1,30,0,0
20,81.37,entertainment,11,0,4110,1,1
9,225.14,electronics,4,1,160,1,0
14,280.71,home,14,1,619,1,0
17,51.07,home,11,0,1083,1,1
13,196.96,clothing,18,0,14,0,2
18,262.95,beauty,13,0,50,1,1
8,249.1,clothing,6,0,18,0,3
15,392.42,electronics,9,0,7,0,3
15,298.93,food,15,1,393,1,0
12,169.45,home,13,0,17861,1,0
10,218.16,beauty,20,0,193,1,1
22,104.42,electronics,6,0,78,0,2
9,368.76,beauty,16,0,64,0,2
10,191.15,entertainment,12,0,65,0,3
18,498.65,food,18,1,103,0,1
22,108.78,electronics,3,0,169,0,2
13,338.12,food,10,1,318,0,0
22,214.45,entertainment,3,0,14,0,3
18,203.4,home,14,1,224,0,0
11,352.31,home,20,0,701,1,0
7,330.51,electronics,6,0,421,1,1
20,340.35,entertainment,11,0,29,0,3
0,53.81,food,17,1,1,0,2
22,289.74,entertainment,12,0,73,0,3
18,346.77,food,12,0,10,0,3
9,210.91,clothing,4,0,33,0,3
11,159.39,entertainment,7,0,349,1,0
3,221.89,beauty,15,0,1004,1,1
22,61.97,electronics,4,0,206,1,0
23,125.74,food,18,1,171,0,0
14,119.77,entertainment,6,0,26,0,2
12,19.45,home,7,1,219,0,0
0,353.84,food,9,1,6,0,2
2,290.79,home,6,1,4222,1,0
3,134.86,entertainment,17,0,175,1,2
12,307.6,home,4,1,1,0,0
19,90.4,beauty,10,0,48,0,2
21,71.3,clothing,8,0,87,1,0
22,74.97,entertainment,14,0,32,0,3
13,96.95,beauty,18,0,1,0,3
5,279.68,entertainment,10,0,1069,1,0
14,311.61,electronics,1,0,6437,1,0
12,482.1,home,16,1,1,0,1
22,420.75,entertainment,6,0,376,1,1
7,149.58,electronics,8,0,280,1,0
14,285.0,entertainment,18,0,1,0,3
8,388.68,electronics,18,0,356,1,1
23,223.48,food,14,1,39,0,2
7,152.37,clothing,15,1,62,0,1
2,222.34,clothing,8,1,72,0,2
22,178.56,beauty,20,0,541,1,1
4,393.5,food,2,1,16,0,2
19,271.69,electronics,10,1,146,1,0
16,492.82,beauty,4,0,18,0,2
13,459.79,electronics,5,0,488,1,0
4,357.14,food,13,1,107,0,1
8,315.77,entertainment,15,0,8,0,3
2,204.41,beauty,9,0,8,0,2
14,475.38,electronics,19,1,1,0,2
23,51.11,entertainment,12,0,96,0,3
12,112.83,entertainment,7,0,94,1,0
9,172.19,home,5,1,19,0,0
10,447.61,clothing,2,1,406,0,1
14,13.06,food,15,1,12,0,1
13,105.15,beauty,5,0,551,1,0
8,51.2,electronics,9,1,12,0,0
20,86.93,entertainment,10,0,2,0,2
13,329.47,beauty,4,1,731,0,1
4,298.87,home,15,1,6,0,2
3,494.14,entertainment,5,0,3291,1,1
2,366.73,clothing,4,0,22,0,3
4,194.45,food,5,1,81,0,1
19,326.76,entertainment,12,0,120,0,3
4,460.35,home,15,0,1947,1,1
3,74.31,clothing,19,0,2910,1,1
13,160.68,food,8,1,9071,1,0
17,302.49,beauty,20,0,646,0,3
0,424.71,beauty,10,0,5,0,3
6,375.18,electronics,2,0,10,0,2
7,249.97,clothing,8,0,57,0,2
16,444.92,clothing,12,0,388,1,2
18,213.33,home,6,0,635,0,1
2,13.26,clothing,1,1,427,1,0
1,474.6,entertainment,17,0,68,0,2
13,214.67,entertainment,3,0,12,0,1
4,142.35,electronics,3,0,734,1,0
4,270.51,entertainment,19,0,7,0,3
21,323.36,electronics,14,0,1,0,2
1,126.02,entertainment,4,0,31,0,3
9,334.71,beauty,6,0,582,0,2
22,10.62,entertainment,12,0,173,0,2
23,133.33,electronics,5,0,14,0,2
23,443.78,clothing,11,0,1073,1,1
2,135.16,home,3,1,384,0,1
1,252.31,home,6,1,157,1,0
3,447.66,beauty,4,0,53,0,3
1,430.05,clothing,8,1,176,1,0
4,93.59,clothing,18,0,19,0,3
20,212.59,electronics,8,0,59,0,1
8,413.87,home,12,1,94,0,0
1,93.78,home,2,0,2260,1,0
14,433.69,electronics,11,1,9,0,1
11,104.33,home,10,0,57,1,1
11,297.89,entertainment,7,0,7,0,3
7,79.53,entertainment,1,0,376,1,0
22,439.21,electronics,1,0,452,1,0
23,364.97,clothing,7,0,1797,1,1
15,480.79,food,9,1,1,0,1
16,209.46,electronics,15,0,3831,1,0
3,255.19,beauty,13,1,10,0,2
13,332.91,food,8,1,10,0,2
12,351.86,beauty,11,0,715,1,1
2,472.06,food,19,1,1892,1,0
14,235.7,entertainment,4,0,11,0,2
6,228.7,entertainment,9,0,362,1,0
21,155.59,beauty,20,1,86,0,1
10,78.42,beauty,8,0,1210,1,0
1,340.21,electronics,6,1,23,0,0
14,280.2,home,8,1,1594,1,0
4,65.12,clothing,8,1,147,0,0
11,344.71,beauty,3,0,9251,1,0
2,15.79,clothing,7,0,184,0,1
4,50.53,electronics,4,1,68,0,0
5,462.45,entertainment,13,0,158,1,2
13,90.54,food,6,1,13,0,1
4,22.15,home,20,1,1487,1,0
13,441.98,entertainment,2,0,505,1,1
13,103.73,home,8,0,2457,0,1
0,494.75,beauty,12,0,30,0,3
11,456.78,home,11,1,2118,1,0
10,300.57,clothing,9,1,72,0,0
16,181.93,home,8,0,4675,1,0
21,124.37,home,2,0,36,0,1
18,424.02,entertainment,12,0,17,0,3
5,92.17,home,11,0,38,0,3
18,18.96,beauty,12,0,506,0,2
18,474.44,entertainment,18,0,12,0,3
2,32.8,home,8,1,216,0,0
10,459.36,food,5,1,988,1,0
10,34.48,food,19,1,258,1,0
3,424.01,electronics,3,1,14,0,1
12,295.08,electronics,10,1,14,0,1
23,474.6,beauty,16,0,77,1,1
17,348.31,home,12,1,487,0,0
5,192.3,beauty,10,0,2,0,2
22,474.61,entertainment,19,1,5,0,2
19,114.34,home,4,0,4736,1,0
23,43.51,electronics,11,1,5,0,3
2,411.72,beauty,11,0,1759,1,1
7,348.12,electronics,9,0,1,0,3
1,196.04,beauty,14,0,1,0,3
15,441.48,electronics,18,1,155,0,2
18,327.23,beauty,8,0,3217,1,1
1,150.98,electronics,9,0,984,1,0
5,444.53,food,3,1,91,0,1
2,172.29,home,16,0,24,0,2
20,86.67,entertainment,6,0,130,1,0
6,207.59,home,18,1,31,1,0
7,52.48,entertainment,19,0,2,0,2
1,183.61,entertainment,3,0,28,0,3
19,242.76,clothing,1,1,126,0,0
2,239.42,clothing,10,0,2,0,3
21,136.18,beauty,18,0,92,1,0
12,187.85,entertainment,2,0,60,0,1
7,419.35,home,2,1,24,0,0
3,47.43,electronics,18,0,6,0,3
7,279.03,entertainment,17,0,1,0,3
15,288.49,food,16,1,391,1,0
22,22.19,home,17,0,31,0,3
19,77.99,entertainment,6,0,486,1,0
6,405.19,food,2,1,25,0,1
13,104.95,beauty,5,0,434,1,0
23,457.52,clothing,3,0,140,1,1
10,429.03,home,15,0,49,1,2
22,313.41,home,14,1,62,1,0
18,296.03,clothing,4,0,137,1,0
9,434.4,electronics,14,1,11,0,2
18,306.44,clothing,6,1,146,1,0
19,342.0,entertainment,2,0,3,0,3
22,122.6,beauty,16,0,1,0,3
0,172.24,electronics,10,1,71,0,1
22,344.0,food,5,1,13,0,1
10,138.36,entertainment,20,0,430,1,0
6,457.15,entertainment,16,0,138,0,3
1,260.06,food,3,1,6,0,1
4,391.36,home,19,1,353,1,1
6,419.3,food,2,1,4,0,2
22,103.56,electronics,15,0,575,0,2
3,342.18,food,12,1,62,0,2
15,295.51,electronics,12,1,9,0,1
23,416.28,clothing,10,1,168,1,0
18,391.02,food,8,1,5,0,0
8,327.54,home,1,0,21,0,2
21,9.4,food,6,1,572,1,0
8,306.13,electronics,9,0,662,1,0
11,232.2,food,15,1,1,0,2
19,201.59,clothing,1,0,234,0,1
11,282.92,home,20,1,569,0,1
15,36.6,electronics,11,0,140,1,0
22,476.33,beauty,10,0,61,0,3
7,450.35,home,13,0,58,0,2
23,17.6,entertainment,10,0,28,0,2
12,369.68,home,19,0,341,1,0
22,115.07,home,16,0,4,0,3
16,153.6,food,18,1,2073,1,0
4,371.75,beauty,18,0,78,1,1
21,450.3,beauty,3,0,2489,1,1
9,213.13,electronics,12,1,13082,1,0
3,237.92,beauty,19,0,29,0,3
15,445.27,home,4,0,492,1,0
9,209.49,food,5,0,1166,1,0
18,446.96,entertainment,5,0,4,0,2
2,246.35,beauty,6,0,25,1,1
14,140.4,food,19,1,2,0,0
2,69.06,entertainment,14,0,43,0,3
12,7.31,home,7,0,19,0,2
10,379.64,home,7,1,456,1,0
23,128.17,beauty,12,0,1601,1,1
16,296.39,food,3,1,602,1,0
9,230.68,home,20,1,5,0,2
21,497.76,electronics,16,1,310,1,0
12,14.47,food,5,1,902,1,0
16,88.65,electronics,2,1,21,0,0
17,313.45,home,2,0,176,0,2
0,28.88,clothing,14,0,388,1,1
8,239.83,food,7,1,323,0,0
9,213.33,clothing,17,1,20,0,1
4,212.32,clothing,17,0,81,1,1
3,393.46,entertainment,7,0,5,0,3
16,486.69,electronics,14,1,439,1,0
15,455.63,beauty,16,0,362,1,1
21,49.06,clothing,19,0,444,1,0
2,390.87,clothing,4,0,3,0,3
14,494.39,electronics,9,0,65,1,0
5,437.7,electronics,12,0,4008,1,2
23,62.37,clothing,1,0,13,0,3
5,167.69,entertainment,20,0,27,0,3
11,408.41,food,4,1,5,0,1
8,418.68,beauty,16,0,9,0,3
5,60.96,beauty,2,0,27,0,3
3,210.93,home,16,0,48,0,3
5,307.6,electronics,20,1,134,0,0
23,486.86,food,16,0,8,1,2
13,223.14,clothing,9,0,51,1,0
21,264.78,beauty,19,0,69,1,0
21,437.21,home,17,0,59,0,3
13,332.55,food,16,1,6,0,0
12,78.58,home,20,1,6,0,2
5,255.26,entertainment,16,0,43,1,2
15,163.71,electronics,9,1,394,1,0
20,192.43,food,3,1,25,0,0
14,48.57,entertainment,15,0,219,0,2
23,328.42,clothing,13,0,19,0,3
0,413.82,home,20,0,8,0,3
17,107.39,beauty,15,0,311,1,1
1,409.21,entertainment,11,0,1,0,3
15,359.75,electronics,15,1,380,0,0
7,6.09,electronics,10,0,147,1,0
3,27.66,food,16,1,5,0,3
23,207.56,electronics,20,1,1115,1,0
12,111.72,food,11,1,1502,0,0
20,419.55,home,4,0,88,0,2
21,296.71,home,5,0,2842,1,0
23,29.04,entertainment,19,0,21,0,3
5,347.45,food,5,1,50,0,1
19,441.93,home,13,1,1126,0,1
22,382.38,electronics,13,0,9,0,3
14,403.37,food,14,1,1,0,1
16,152.96,beauty,18,0,221,0,2
17,318.13,food,7,1,83,1,0
11,460.99,food,6,1,215,0,0
10,356.62,electronics,18,0,147,0,2
21,356.51,beauty,18,0,1,0,3
0,263.75,clothing,13,1,10,0,2
6,137.15,food,10,1,2958,1,0
1,346.84,electronics,7,0,799,1,2
14,55.73,beauty,18,0,5,0,3
